Year,LocationAbbr,LocationDesc,TopicDesc,Gender,Race,Age,Education
2017,GU,Guam,  Adults,Male,All Races,All Ages,All Grades
2018,US,National Median (States and DC),  Adults,Overall,All Races,All Ages,All Grades
2017,US,National Median (States and DC),  Adults,Overall,All Races,All Ages,All Grades
2016,GU,Guam,  Adults,Overall,Hispanic,All Ages,All Grades
2014,GU,Guam,  Adults,Overall,White,All Ages,All Grades
2012,IN,Indiana,  Adults,Female,All Races,All Ages,All Grades
2018-2019,DE,Delaware,  Adults,Overall,White,All Ages,All Grades
2011,MO,Missouri,  Adults,Overall,All Races,Age 25 and Older,> 12th Grade
2013,ME,Maine,  Adults,Female,All Races,All Ages,All Grades
2017,WA,Washington,  Adults,Male,All Races,All Ages,All Grades
2014-2015,IL,Illinois,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2011,MN,Minnesota,  Adults,Overall,All Races,All Ages,All Grades
2018,VA,Virginia,  Adults,Male,All Races,All Ages,All Grades
2014,MN,Minnesota,  Adults,Overall,All Races,All Ages,All Grades
2017-2018,WA,Washington,  Adults,Overall,White,All Ages,All Grades
2017,UT,Utah,  Adults,Overall,All Races,Age 20 and Older,12th Grade
2012,CA,California,  Adults,Male,All Races,All Ages,All Grades
2015,FL,Florida,  Adults,Overall,All Races,Age 25 and Older,> 12th Grade
2015,RI,Rhode Island,  Adults,Overall,All Races,18 to 24 Years,All Grades
2019,AZ,Arizona,  Adults,Female,All Races,18 to 44 Years,All Grades
2018-2019,DC,District of Columbia,  Adults,Overall,White,All Ages,All Grades
2016,KS,Kansas,E-  Adults,Female,All Races,All Ages,All Grades
2013,DC,District of Columbia,  Adults,Overall,Hispanic,All Ages,All Grades
2013,NV,Nevada,  Adults,Male,All Races,All Ages,All Grades
2019,AL,Alabama,  Adults,Female,All Races,All Ages,All Grades
2016,WV,West Virginia,  Adults,Overall,All Races,18 to 24 Years,All Grades
2012,WI,Wisconsin,  Adults,Female,All Races,All Ages,All Grades
2019,OK,Oklahoma,  Adults,Female,All Races,All Ages,All Grades
2019,GU,Guam,  Adults,Overall,All Races,All Ages,All Grades
2016,NY,New York,  Adults,Overall,All Races,All Ages,All Grades
2016,IA,Iowa,  Adults,Female,All Races,All Ages,All Grades
2011,IL,Illinois,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2012,CO,Colorado,  Adults,Male,All Races,All Ages,All Grades
2016-2017,ID,Idaho,  Adults,Overall,White,All Ages,All Grades
2017-2018,CO,Colorado,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2011,AK,Alaska,  Adults,Male,All Races,All Ages,All Grades
2017,KS,Kansas, Adults,Overall,All Races,All Ages,All Grades
2011,ND,North Dakota,  Adults,Male,All Races,All Ages,All Grades
2011,NC,North Carolina,  Adults,Male,All Races,All Ages,All Grades
2014,NH,New Hampshire,  Adults,Male,All Races,All Ages,All Grades
2016,IN,Indiana,  Adults,Male,All Races,All Ages,All Grades
2015,VT,Vermont,  Adults,Male,All Races,All Ages,All Grades
2018-2019,TX,Texas,  Adults,Overall,African American,All Ages,All Grades
2014,NE,Nebraska, Adults,Female,All Races,All Ages,All Grades
2015,WV,West Virginia,  Adults,Overall,African American,All Ages,All Grades
2016,HI,Hawaii, Adults,Male,All Races,All Ages,All Grades
2012,WY,Wyoming,  Adults,Female,All Races,18 to 44 Years,All Grades
2012,SD,South Dakota,  Adults,Male,All Races,All Ages,All Grades
2018,ID,Idaho,E-  Adults,Overall,All Races,45 to 64 Years,All Grades
2019,LA,Louisiana,  Adults,Female,All Races,All Ages,All Grades
2018,KY,Kentucky,  Adults,Female,All Races,18 to 44 Years,All Grades
2018,NC,North Carolina,  Adults,Male,All Races,All Ages,All Grades
2013,WY,Wyoming,  Adults,Male,All Races,All Ages,All Grades
2019,PR,Puerto Rico,  Adults,Overall,All Races,All Ages,All Grades
2012,GU,Guam,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2012,MO,Missouri,  Adults,Overall,All Races,45 to 64 Years,All Grades
2018,IA,Iowa,E-  Adults,Overall,White,All Ages,All Grades
2012,AR,Arkansas,  Adults,Overall,Hispanic,All Ages,All Grades
2016,SD,South Dakota,E-  Adults,Overall,All Races,All Ages,All Grades
2018-2019,KS,Kansas,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2015,AL,Alabama,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2012,WA,Washington, Adults,Male,All Races,All Ages,All Grades
2012,MN,Minnesota,  Adults,Overall,All Races,All Ages,All Grades
2016,AR,Arkansas,E-  Adults,Overall,All Races,Age 20 and Older,12th Grade
2012,MD,Maryland,  Adults,Female,All Races,All Ages,All Grades
2017,DC,District of Columbia,E-  Adults,Overall,All Races,Age 25 and Older,12th Grade
2017,MO,Missouri,  Adults,Overall,All Races,All Ages,All Grades
2014,ID,Idaho,  Adults,Female,All Races,All Ages,All Grades
2017,OH,Ohio,  Adults,Overall,All Races,All Ages,All Grades
2015,LA,Louisiana,  Adults,Female,All Races,All Ages,All Grades
2016,NV,Nevada, Adults,Female,All Races,All Ages,All Grades
2011,ME,Maine,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2014-2015,KS,Kansas,  Adults,Overall,African American,All Ages,All Grades
2018,SC,South Carolina,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2019,CO,Colorado,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2014,IA,Iowa,  Adults,Overall,All Races,Age 20 and Older,12th Grade
2013-2014,VT,Vermont,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2011,SC,South Carolina,  Adults,Overall,All Races,All Ages,All Grades
2017,SD,South Dakota,  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2018,VT,Vermont,  Adults,Male,All Races,All Ages,All Grades
2018,ID,Idaho,  Adults,Overall,All Races,All Ages,All Grades
2015,AL,Alabama,  Adults,Overall,African American,All Ages,All Grades
2016-2017,RI,Rhode Island,  Adults,Overall,African American,All Ages,All Grades
2014,MA,Massachusetts, Adults,Overall,All Races,All Ages,All Grades
2011,MI,Michigan, Adults,Overall,All Races,All Ages,All Grades
2014,CO,Colorado,  Adults,Female,All Races,All Ages,All Grades
2018-2019,VA,Virginia,  Adults,Overall,Hispanic,All Ages,All Grades
2015-2016,KS,Kansas,  Adults,Overall,White,All Ages,All Grades
2016,GU,Guam, Adults,Female,All Races,All Ages,All Grades
2019,LA,Louisiana,  Adults,Overall,All Races,45 to 64 Years,All Grades
2011,OR,Oregon,  Adults,Overall,All Races,All Ages,All Grades
2012,OK,Oklahoma,  Adults,Male,All Races,All Ages,All Grades
2015,ME,Maine,  Adults,Overall,All Races,Age 25 and Older,> 12th Grade
2018,IL,Illinois,  Adults,Male,All Races,All Ages,All Grades
2019,MI,Michigan,  Adults,Female,All Races,All Ages,All Grades
2018,IA,Iowa,E-  Adults,Female,All Races,All Ages,All Grades
2014,PR,Puerto Rico,  Adults,Male,All Races,All Ages,All Grades
2016-2017,MA,Massachusetts,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2016,IA,Iowa,E-  Adults,Overall,Hispanic,All Ages,All Grades
2017,FL,Florida, Adults,Female,All Races,All Ages,All Grades
2013-2014,MT,Montana,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2018,NC,North Carolina,  Adults,Male,All Races,All Ages,All Grades
2016,ME,Maine,  Adults,Overall,All Races,Age 25 and Older,12th Grade
2016,AZ,Arizona,  Adults,Female,All Races,All Ages,All Grades
2016,TX,Texas,  Adults,Overall,All Races,25 to 44 Years,All Grades
2011,WI,Wisconsin,  Adults,Overall,All Races,18 to 24 Years,All Grades
2014,AR,Arkansas,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2017,FL,Florida,  Adults,Male,All Races,All Ages,All Grades
2019,WV,West Virginia, Adults,Female,All Races,All Ages,All Grades
2017,AL,Alabama,  Adults,Female,All Races,All Ages,All Grades
2013,MI,Michigan,  Adults,Female,All Races,All Ages,All Grades
2012,TN,Tennessee,  Adults,Female,All Races,All Ages,All Grades
2013-2014,DC,District of Columbia,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2015,MD,Maryland,  Adults,Female,All Races,18 to 44 Years,All Grades
2019,NE,Nebraska,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2017,OR,Oregon,  Adults,Overall,All Races,25 to 44 Years,All Grades
2019,CT,Connecticut,  Adults,Overall,All Races,Age 25 and Older,12th Grade
2016,GU,Guam,E-  Adults,Male,All Races,All Ages,All Grades
2013,MS,Mississippi,  Adults,Male,All Races,All Ages,All Grades
2015,WI,Wisconsin,  Adults,Overall,White,All Ages,All Grades
2014,HI,Hawaii,  Adults,Male,All Races,All Ages,All Grades
2018,MD,Maryland,E-  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2014,NY,New York,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2013,MO,Missouri,  Adults,Female,All Races,All Ages,All Grades
2017,PR,Puerto Rico,  Adults,Female,All Races,18 to 44 Years,All Grades
2014,WV,West Virginia,  Adults,Overall,All Races,18 to 24 Years,All Grades
2011-2012,MO,Missouri,  Adults,Overall,African American,All Ages,All Grades
2013,HI,Hawaii,  Adults,Overall,All Races,65 Years and Older,All Grades
2017,KS,Kansas,  Adults,Overall,All Races,All Ages,All Grades
2018,AL,Alabama,  Adults,Overall,All Races,18 to 24 Years,All Grades
2016,FL,Florida,  Adults,Overall,All Races,25 to 44 Years,All Grades
2015,AL,Alabama,  Adults,Male,All Races,All Ages,All Grades
2015-2016,FL,Florida,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2019,MI,Michigan,  Adults,Overall,All Races,Age 25 and Older,12th Grade
2014,MN,Minnesota,  Adults,Overall,All Races,All Ages,All Grades
2018,VA,Virginia,E-  Adults,Overall,All Races,All Ages,All Grades
2014,NC,North Carolina,  Adults,Male,All Races,All Ages,All Grades
2011,ID,Idaho,  Adults,Female,All Races,All Ages,All Grades
2013,MN,Minnesota,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2015,WI,Wisconsin,  Adults,Male,All Races,All Ages,All Grades
2014,NM,New Mexico,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2016,ID,Idaho,  Adults,Overall,Hispanic,All Ages,All Grades
2019,ND,North Dakota,  Adults,Overall,All Races,All Ages,All Grades
2013,ME,Maine,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2015-2016,AK,Alaska,  Adults,Overall,White,All Ages,All Grades
2019,CA,California,  Adults,Overall,All Races,18 to 24 Years,All Grades
2011,AZ,Arizona,  Adults,Female,All Races,All Ages,All Grades
2016,VT,Vermont,E-  Adults,Overall,All Races,Age 20 and Older,12th Grade
2013,OH,Ohio,  Adults,Overall,All Races,All Ages,All Grades
2016,PA,Pennsylvania,E-  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2014,WA,Washington,  Adults,Male,All Races,All Ages,All Grades
2014,SD,South Dakota,  Adults,Female,All Races,All Ages,All Grades
2018,AL,Alabama,  Adults,Female,All Races,All Ages,All Grades
2012,IN,Indiana,  Adults,Overall,All Races,Age 20 and Older,12th Grade
2014-2015,SD,South Dakota,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2011,CO,Colorado,  Adults,Overall,All Races,65 Years and Older,All Grades
2015,IN,Indiana,  Adults,Male,All Races,All Ages,All Grades
2016,WV,West Virginia,  Adults,Male,All Races,All Ages,All Grades
2018,WY,Wyoming,  Adults,Female,All Races,All Ages,All Grades
2016,CO,Colorado,  Adults,Male,All Races,All Ages,All Grades
2019,KS,Kansas,  Adults,Overall,All Races,All Ages,All Grades
2017,AR,Arkansas,E-  Adults,Female,All Races,18 to 44 Years,All Grades
2016-2017,DE,Delaware,E-  Adults,Overall,African American,All Ages,All Grades
2018,NC,North Carolina,  Adults,Female,All Races,All Ages,All Grades
2014,MN,Minnesota,  Adults,Overall,All Races,25 to 44 Years,All Grades
2015,TX,Texas,  Adults,Overall,All Races,All Ages,All Grades
2016,IN,Indiana,  Adults,Overall,All Races,65 Years and Older,All Grades
2016,NC,North Carolina,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2016,DC,District of Columbia,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2019,HI,Hawaii,  Adults,Female,All Races,All Ages,All Grades
2014,AZ,Arizona,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2013,DE,Delaware,  Adults,Female,All Races,All Ages,All Grades
2019,NY,New York,  Adults,Female,All Races,All Ages,All Grades
2018,WY,Wyoming, Adults,Overall,All Races,All Ages,All Grades
2014,GU,Guam,  Adults,Female,All Races,18 to 44 Years,All Grades
2016,NJ,New Jersey,  Adults,Overall,White,All Ages,All Grades
2012,NY,New York,  Adults,Overall,All Races,All Ages,All Grades
2018,CA,California,  Adults,Overall,All Races,All Ages,All Grades
2016,MT,Montana,E-  Adults,Female,All Races,All Ages,All Grades
2018,OR,Oregon,  Adults,Overall,All Races,All Ages,All Grades
2011,CA,California,  Adults,Female,All Races,18 to 44 Years,All Grades
2016,NV,Nevada,  Adults,Male,All Races,All Ages,All Grades
2017,OK,Oklahoma,  Adults,Overall,All Races,All Ages,All Grades
2014,ID,Idaho,  Adults,Overall,All Races,All Ages,All Grades
2018,AR,Arkansas,E-  Adults,Male,All Races,All Ages,All Grades
2011,SC,South Carolina,  Adults,Overall,African American,All Ages,All Grades
2013,FL,Florida,  Adults,Overall,All Races,25 to 44 Years,All Grades
2012,PR,Puerto Rico, Adults,Male,All Races,All Ages,All Grades
2012,MD,Maryland,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2014,KS,Kansas,  Adults,Male,All Races,All Ages,All Grades
2015,CA,California,  Adults,Male,All Races,All Ages,All Grades
2011-2012,ND,North Dakota,  Adults,Overall,White,All Ages,All Grades
2011,OR,Oregon,  Adults,Overall,African American,All Ages,All Grades
2014,RI,Rhode Island,  Adults,Overall,All Races,65 Years and Older,All Grades
2014,NE,Nebraska,  Adults,Overall,All Races,All Ages,All Grades
2011,AL,Alabama,  Adults,Overall,African American,All Ages,All Grades
2015-2016,OR,Oregon,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,MT,Montana,E-  Adults,Male,All Races,All Ages,All Grades
2018,ID,Idaho,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2018-2019,WA,Washington,  Adults,Overall,White,All Ages,All Grades
2014,NH,New Hampshire, Adults,Female,All Races,All Ages,All Grades
2011,WV,West Virginia,  Adults,Female,All Races,All Ages,All Grades
2017,MI,Michigan,  Adults,Overall,Hispanic,All Ages,All Grades
2016-2017,SC,South Carolina,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2016,AZ,Arizona,E-  Adults,Overall,All Races,All Ages,All Grades
2017,IL,Illinois,  Adults,Male,All Races,All Ages,All Grades
2012,AL,Alabama, Adults,Female,All Races,All Ages,All Grades
2017,PR,Puerto Rico,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2013,MI,Michigan,  Adults,Overall,All Races,18 to 24 Years,All Grades
2015-2016,MA,Massachusetts,  Adults,Overall,Hispanic,All Ages,All Grades
2019,ID,Idaho,  Adults,Female,All Races,All Ages,All Grades
2014,ND,North Dakota,  Adults,Overall,White,All Ages,All Grades
2012,IA,Iowa,  Adults,Male,All Races,All Ages,All Grades
2013,TX,Texas,  Adults,Overall,All Races,All Ages,All Grades
2019,PA,Pennsylvania,  Adults,Male,All Races,All Ages,All Grades
2016,NE,Nebraska,  Adults,Male,All Races,All Ages,All Grades
2015,SD,South Dakota,  Adults,Female,All Races,All Ages,All Grades
2011,NY,New York,  Adults,Overall,All Races,All Ages,All Grades
2017,VT,Vermont,E-  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2014,GU,Guam,  Adults,Overall,All Races,Age 25 and Older,> 12th Grade
2016,LA,Louisiana,E-  Adults,Overall,All Races,Age 20 and Older,12th Grade
2014-2015,DE,Delaware,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2012,MT,Montana,  Adults,Male,All Races,All Ages,All Grades
2018,NE,Nebraska,  Adults,Female,All Races,18 to 44 Years,All Grades
2013,NH,New Hampshire,  Adults,Overall,All Races,18 to 24 Years,All Grades
2018,IL,Illinois,  Adults,Male,All Races,All Ages,All Grades
2017,RI,Rhode Island,  Adults,Overall,All Races,18 to 24 Years,All Grades
2014,AL,Alabama,  Adults,Overall,African American,All Ages,All Grades
2017,AK,Alaska,E-  Adults,Female,All Races,All Ages,All Grades
2019,VA,Virginia,  Adults,Overall,All Races,25 to 44 Years,All Grades
2019,AR,Arkansas,  Adults,Overall,All Races,All Ages,All Grades
2016,TN,Tennessee,  Adults,Overall,White,All Ages,All Grades
2015,WI,Wisconsin,  Adults,Female,All Races,18 to 44 Years,All Grades
2011,MI,Michigan,  Adults,Overall,All Races,18 to 24 Years,All Grades
2011-2012,NY,New York,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2019,NV,Nevada,  Adults,Male,All Races,All Ages,All Grades
2014,IL,Illinois,  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2013,NM,New Mexico,  Adults,Overall,African American,All Ages,All Grades
2016-2017,VT,Vermont,  Adults,Overall,White,All Ages,All Grades
2016,AK,Alaska,E-  Adults,Male,All Races,All Ages,All Grades
2018,ND,North Dakota,E-  Adults,Overall,African American,All Ages,All Grades
2014,MT,Montana,  Adults,Overall,All Races,All Ages,All Grades
2011,AK,Alaska,  Adults,Female,All Races,All Ages,All Grades
2015,IA,Iowa,  Adults,Overall,All Races,45 to 64 Years,All Grades
2017,IN,Indiana,  Adults,Male,All Races,All Ages,All Grades
2011,WA,Washington,  Adults,Overall,All Races,All Ages,All Grades
2016,FL,Florida,E-  Adults,Overall,All Races,All Ages,All Grades
2014,NH,New Hampshire,  Adults,Overall,All Races,All Ages,All Grades
2018,ID,Idaho,  Adults,Female,All Races,All Ages,All Grades
2018,MN,Minnesota,E-  Adults,Female,All Races,All Ages,All Grades
2017-2018,VT,Vermont,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2019,NJ,New Jersey,  Adults,Overall,All Races,45 to 64 Years,All Grades
2019,MD,Maryland,  Adults,Overall,All Races,18 to 24 Years,All Grades
2013,MA,Massachusetts,  Adults,Female,All Races,All Ages,All Grades
2012,NM,New Mexico,  Adults,Female,All Races,All Ages,All Grades
2014,GA,Georgia,  Adults,Female,All Races,All Ages,All Grades
2012,MO,Missouri,  Adults,Female,All Races,All Ages,All Grades
2016,VA,Virginia,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2017,UT,Utah,  Adults,Overall,All Races,65 Years and Older,All Grades
2011,NC,North Carolina,  Adults,Female,All Races,All Ages,All Grades
2015,DE,Delaware,  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2014,NM,New Mexico,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2018,SD,South Dakota,  Adults,Overall,All Races,All Ages,All Grades
2011,LA,Louisiana,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2011,FL,Florida,  Adults,Female,All Races,All Ages,All Grades
2014,IA,Iowa, Adults,Overall,All Races,All Ages,All Grades
2014,AR,Arkansas,  Adults,Overall,All Races,All Ages,All Grades
2019,IA,Iowa,  Adults,Overall,All Races,All Ages,All Grades
2011-2012,MT,Montana,  Adults,Overall,Hispanic,All Ages,All Grades
2019,DE,Delaware,  Adults,Female,All Races,All Ages,All Grades
2016,PR,Puerto Rico,E-  Adults,Overall,White,All Ages,All Grades
2012,SD,South Dakota,  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2013,GU,Guam,  Adults,Female,All Races,18 to 44 Years,All Grades
2014,MT,Montana,  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2016,NH,New Hampshire,  Adults,Female,All Races,All Ages,All Grades
2016,OK,Oklahoma,E-  Adults,Overall,All Races,All Ages,All Grades
2014,MN,Minnesota,  Adults,Overall,Hispanic,All Ages,All Grades
2018,GA,Georgia,  Adults,Overall,All Races,All Ages,All Grades
2017,ID,Idaho,  Adults,Female,All Races,All Ages,All Grades
2018,MN,Minnesota,  Adults,Overall,All Races,65 Years and Older,All Grades
2016,TX,Texas,  Adults,Female,All Races,18 to 44 Years,All Grades
2017,SD,South Dakota,E-  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2016,IL,Illinois,E-  Adults,Overall,All Races,Age 20 and Older,12th Grade
2017,CA,California, Adults,Female,All Races,All Ages,All Grades
2019,AL,Alabama,  Adults,Overall,All Races,18 to 24 Years,All Grades
2018,IN,Indiana,E-  Adults,Overall,All Races,45 to 64 Years,All Grades
2016,ND,North Dakota,E-  Adults,Overall,All Races,All Ages,All Grades
2019,LA,Louisiana,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2013,VT,Vermont,  Adults,Overall,All Races,Age 25 and Older,> 12th Grade
2015,PA,Pennsylvania, Adults,Female,All Races,All Ages,All Grades
2012,CA,California,  Adults,Male,All Races,All Ages,All Grades
2013,OK,Oklahoma,  Adults,Male,All Races,All Ages,All Grades
2018,NH,New Hampshire,E-  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2014,CA,California,  Adults,Overall,All Races,25 to 44 Years,All Grades
2016,UT,Utah,  Adults,Female,All Races,All Ages,All Grades
2016,WI,Wisconsin,  Adults,Female,All Races,All Ages,All Grades
2012,NJ,New Jersey,  Adults,Overall,All Races,18 to 24 Years,All Grades
2016,KY,Kentucky,  Adults,Female,All Races,All Ages,All Grades
2013-2014,CT,Connecticut,  Adults,Overall,Hispanic,All Ages,All Grades
2017,WV,West Virginia,E-  Adults,Overall,All Races,25 to 44 Years,All Grades
2011,NM,New Mexico,  Adults,Female,All Races,All Ages,All Grades
2019,NE,Nebraska, Adults,Female,All Races,All Ages,All Grades
2012,TX,Texas,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2016,NM,New Mexico,  Adults,Male,All Races,All Ages,All Grades
2016,MI,Michigan,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2011-2012,VA,Virginia,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2018,MA,Massachusetts,  Adults,Overall,All Races,Age 25 and Older,12th Grade
2014,NE,Nebraska,  Adults,Overall,All Races,All Ages,All Grades
2012,WI,Wisconsin,  Adults,Female,All Races,All Ages,All Grades
2016-2017,MD,Maryland,  Adults,Overall,White,All Ages,All Grades
2011,TN,Tennessee,  Adults,Overall,All Races,All Ages,All Grades
2018,LA,Louisiana,E-  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2017,PA,Pennsylvania, Adults,Male,All Races,All Ages,All Grades
2016-2017,WI,Wisconsin,E-  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2015,NJ,New Jersey,  Adults,Overall,All Races,18 to 24 Years,All Grades
2017,PA,Pennsylvania,  Adults,Overall,All Races,Age 25 and Older,< 12th Grade
2013,AL,Alabama,  Adults,Overall,All Races,All Ages,All Grades
2018,NY,New York,  Adults,Overall,All Races,All Ages,All Grades
2015,UT,Utah,  Adults,Male,All Races,All Ages,All Grades
2013,MD,Maryland,  Adults,Overall,All Races,All Ages,All Grades
2017,PA,Pennsylvania,E-  Adults,Overall,All Races,All Ages,All Grades
2018,TX,Texas,  Adults,Female,All Races,All Ages,All Grades
2015,AK,Alaska,  Adults,Overall,Hispanic,All Ages,All Grades
2011,RI,Rhode Island,  Adults,Overall,Hispanic,All Ages,All Grades
2014,ME,Maine,  Adults,Overall,All Races,25 to 44 Years,All Grades
2011,MD,Maryland,  Adults,Overall,All Races,All Ages,All Grades
2016,MT,Montana,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2017,NE,Nebraska,E-  Adults,Male,All Races,All Ages,All Grades
2015,ID,Idaho,  Adults,Female,All Races,All Ages,All Grades
2015,AR,Arkansas,  Adults,Overall,All Races,All Ages,All Grades
2011,VT,Vermont,  Adults,Overall,All Races,All Ages,All Grades
2017-2018,MT,Montana,  Adults,Overall,White,All Ages,All Grades
2019,TX,Texas,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2013,NV,Nevada,  Adults,Overall,All Races,All Ages,All Grades
2014,IL,Illinois,  Adults,Overall,All Races,All Ages,All Grades
2018,GA,Georgia,E-  Adults,Overall,All Races,All Ages,All Grades
2018-2019,CA,California,  Adults,Overall,African American,All Ages,All Grades
2019,KY,Kentucky,  Adults,Female,All Races,All Ages,All Grades
2011,GU,Guam,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2017,AZ,Arizona,  Adults,Male,All Races,All Ages,All Grades
2017,GA,Georgia,  Adults,Overall,Hispanic,All Ages,All Grades
2013,NE,Nebraska,  Adults,Overall,All Races,Age 20 and Older,> 12th Grade
2013-2014,LA,Louisiana,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2011,NH,New Hampshire,  Adults,Overall,All Races,Age 25 and Older,12th Grade
2012,WA,Washington,  Adults,Male,All Races,All Ages,All Grades
2016-2017,TN,Tennessee,  Adults,Overall,White,All Ages,All Grades
2017,NY,New York,  Adults,Overall,All Races,18 to 24 Years,All Grades
2018,DE,Delaware,  Adults,Overall,All Races,All Ages,All Grades
2019,FL,Florida,  Adults,Overall,All Races,All Ages,All Grades
2015,HI,Hawaii, Adults,Overall,All Races,All Ages,All Grades
2017-2018,GA,Georgia,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2011,DE,Delaware,  Adults,Male,All Races,All Ages,All Grades
2011,NC,North Carolina,  Adults,Male,All Races,All Ages,All Grades
2014,IN,Indiana,  Adults,Overall,All Races,All Ages,All Grades
2017,NC,North Carolina,  Adults,Male,All Races,All Ages,All Grades
2018,MT,Montana,  Adults,Overall,All Races,All Ages,All Grades
2015,MT,Montana,  Adults,Male,All Races,All Ages,All Grades
2013,ND,North Dakota,  Adults,Overall,All Races,Age 20 and Older,< 12th Grade
2017,NY,New York,  Adults,Female,All Races,All Ages,All Grades
2019,NH,New Hampshire,  Adults,Overall,Hispanic,All Ages,All Grades
2019,UT,Utah,  Adults,Female,All Races,All Ages,All Grades
2018,MN,Minnesota,  Adults,Male,All Races,All Ages,All Grades
2019,NV,Nevada,  Adults,Overall,All Races,All Ages,All Grades
2016,MT,Montana,  Adults,Overall,All Races,All Ages,All Grades
2014,AL,Alabama,  Adults,Female,All Races,All Ages,All Grades
2017,NE,Nebraska,E-  Adults,Female,All Races,All Ages,All Grades
2011,ME,Maine, Adults,Overall,All Races,All Ages,All Grades
2013-2014,NY,New York,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2017,NM,New Mexico,  Adults,Overall,Hispanic,All Ages,All Grades
2017,TX,Texas,  Adults,Female,All Races,18 to 44 Years,All Grades
2015-2016,NY,New York,  Adults,Overall,American Indian/Alaska Native,All Ages,All Grades
2016-2017,NY,New York,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2012,RI,Rhode Island,  Adults,Overall,All Races,Age 25 and Older,> 12th Grade
2017,GU,Guam,E-  Adults,Male,All Races,All Ages,All Grades
2017,HI,Hawaii,  Adults,Overall,All Races,All Ages,All Grades
2014,VA,Virginia,  Adults,Overall,All Races,18 to 24 Years,All Grades
2017,MA,Massachusetts,  Adults,Female,All Races,All Ages,All Grades
2016-2017,NJ,New Jersey,E-  Adults,Overall,White,All Ages,All Grades
2012,NY,New York,  Adults,Female,All Races,All Ages,All Grades
2019,WI,Wisconsin,  Adults,Overall,African American,All Ages,All Grades
2013,NY,New York,  Adults,Female,All Races,18 to 44 Years,All Grades
2014-2015,MT,Montana,  Adults,Overall,Asian/Pacific Islander,All Ages,All Grades
2013,NV,Nevada,  Adults,Overall,All Races,Age 20 and Older,12th Grade
